topic,idx,source,sink,claim,paper_id,abstract
Investment banking,195,multiquarter institutional buying and selling,long-term returns,Persistent institutional trading negatively predicts long-term returns,114,"ABSTRACT Recent studies show that single‐quarter institutional herding positively predicts short‐term returns. Motivated by the theoretical herding literature, which emphasizes endogenous persistence in decisions over time, we estimate the effect of multiquarter institutional buying and selling on stock returns. Using both regression and portfolio tests, we find that persistent institutional trading negatively predicts long‐term returns: persistently sold stocks outperform persistently bought stocks at long horizons. The negative association between returns and institutional trade persistence is not subsumed by past returns or other stock characteristics, is concentrated among smaller stocks, and is stronger for stocks with higher institutional ownership."
Mutual funds,196,persistently sold stocks,long-term returns,Persistently sold stocks outperform persistently bought stocks at long horizons,114,"ABSTRACT Recent studies show that single‐quarter institutional herding positively predicts short‐term returns. Motivated by the theoretical herding literature, which emphasizes endogenous persistence in decisions over time, we estimate the effect of multiquarter institutional buying and selling on stock returns. Using both regression and portfolio tests, we find that persistent institutional trading negatively predicts long‐term returns: persistently sold stocks outperform persistently bought stocks at long horizons. The negative association between returns and institutional trade persistence is not subsumed by past returns or other stock characteristics, is concentrated among smaller stocks, and is stronger for stocks with higher institutional ownership."
Mutual funds,197,interim trading skills of institutional investors,abnormal stock returns,Institutional investors earn significant abnormal returns on their trades within the trading quarter.,115,"ABSTRACT Using a large proprietary database of institutional trades, this paper examines the interim (intraquarter) trading skills of institutional investors. We find strong evidence that institutional investors earn significant abnormal returns on their trades within the trading quarter and that interim trading performance is persistent. After transactions costs, our estimates suggest that interim trading skills contribute between 20 and 26 basis points per year to the average fund's abnormal performance. Our findings also indicate that any trading skills documented by previous studies that use quarterly data are biased downwards because of their inability to account for interim trades."
Trading activity,198,interim trading skills,abnormal stock returns,Interim trading skills contribute between 20 and 26 basis points per year to the average fund's abnormal performance.,115,"ABSTRACT Using a large proprietary database of institutional trades, this paper examines the interim (intraquarter) trading skills of institutional investors. We find strong evidence that institutional investors earn significant abnormal returns on their trades within the trading quarter and that interim trading performance is persistent. After transactions costs, our estimates suggest that interim trading skills contribute between 20 and 26 basis points per year to the average fund's abnormal performance. Our findings also indicate that any trading skills documented by previous studies that use quarterly data are biased downwards because of their inability to account for interim trades."
Options / VIX,199,Put option sales by large firms,Abnormal stock returns,"Large firms successfully time security sales, leading to abnormal stock returns of roughly 5% following put option issues.",116,"ABSTRACT We study put option sales on company stock by large firms. An often‐cited motivation for these transactions is market timing, and managers' decision to issue puts should be sensitive to whether the stock is undervalued. We provide new evidence that large firms successfully time security sales. In the 100 days following put option issues, there is roughly a 5% abnormal stock return, with much of the abnormal return following the first earnings release date after the sale. Direct evidence on put option exercises reinforces these findings: exercise frequencies and payoffs to put holders are abnormally low."
Investment banking,200,professionally close stocks,stock returns,"Investors make excess returns on professionally close stocks (expected to be high, but found to be negative).",117,"ABSTRACT Using a novel data set covering all individual investors' stock market transactions in Norway over 10 years, we analyze whether individual investors have a preference for professionally close stocks, and whether they make excess returns on such investments. After excluding own‐company stock holdings, investors hold 11% of their portfolio in stocks within their two‐digit industry of employment. Given the poor hedging properties of such investments, one would expect abnormally high returns. In contrast, all estimates of abnormal returns are negative, in many cases statistically significant. Overconfidence seems the most likely explanation for the excessive trading in professionally close stocks."
Behavioral finance,201,overconfidence,stock returns,Excessive trading in professionally close stocks is explained by overconfidence.,117,"ABSTRACT Using a novel data set covering all individual investors' stock market transactions in Norway over 10 years, we analyze whether individual investors have a preference for professionally close stocks, and whether they make excess returns on such investments. After excluding own‐company stock holdings, investors hold 11% of their portfolio in stocks within their two‐digit industry of employment. Given the poor hedging properties of such investments, one would expect abnormally high returns. In contrast, all estimates of abnormal returns are negative, in many cases statistically significant. Overconfidence seems the most likely explanation for the excessive trading in professionally close stocks."
Macroeconomic data,202,consumption-based models,stock returns,Consumption-based models fail to capture key features of risk premiums in equity markets.,118,"ABSTRACT We find that several recently proposed consumption‐based models of stock returns, when evaluated using an optimal set of managed portfolios and the associated model‐implied conditional moment restrictions, fail to capture key features of risk premiums in equity markets. To arrive at these conclusions, we construct an optimal Generalized Method of Moments (GMM) estimator for models in which the stochastic discount factor (SDF) is a conditionally affine function of a set of priced risk factors, and we show that there is an optimal choice of managed portfolios to use in testing a null model against a proposed alternative generalized SDF."
Macroeconomic data,203,optimal Generalized Method of Moments (GMM) estimator,stock returns,The optimal Generalized Method of Moments (GMM) estimator is used to evaluate models of stock returns.,118,"ABSTRACT We find that several recently proposed consumption‐based models of stock returns, when evaluated using an optimal set of managed portfolios and the associated model‐implied conditional moment restrictions, fail to capture key features of risk premiums in equity markets. To arrive at these conclusions, we construct an optimal Generalized Method of Moments (GMM) estimator for models in which the stochastic discount factor (SDF) is a conditionally affine function of a set of priced risk factors, and we show that there is an optimal choice of managed portfolios to use in testing a null model against a proposed alternative generalized SDF."
Retail,204,Retail trading activity,Stock returns,Retail trading activity has a positive effect on the volatility of stock returns.,119,"ABSTRACT We show that retail trading activity has a positive effect on the volatility of stock returns, which suggests that retail investors behave as noise traders. To identify this effect, we use a reform of the French stock market that raises the relative cost of speculative trading for retail investors. The daily return volatility of the stocks affected by the reform falls by 20 basis points (a quarter of the sample standard deviation of the return volatility) relative to other stocks. For affected stocks, we also find a significant decrease in the magnitude of return reversals and the price impact of trades."
Options / VIX,205,state prices,stock returns,The Recovery Theorem enables us to determine the market's forecast of returns from state prices alone.,120,"ABSTRACT We can only estimate the distribution of stock returns, but from option prices we observe the distribution of state prices. State prices are the product of risk aversion—the pricing kernel—and the natural probability distribution. The Recovery Theorem enables us to separate these to determine the market's forecast of returns and risk aversion from state prices alone. Among other things, this allows us to recover the pricing kernel, market risk premium, and probability of a catastrophe and to construct model‐free tests of the efficient market hypothesis."
Macroeconomic data,206,marginal value of cash,stock price,The marginal value of cash varies negatively with the stock price.,121,"ABSTRACT We develop a dynamic model of a firm facing agency costs of free cash flow and external financing costs, and derive an explicit solution for the firm's optimal balance sheet dynamics. Financial frictions affect issuance and dividend policies, the value of cash holdings, and the dynamics of stock prices. The model predicts that the marginal value of cash varies negatively with the stock price, and positively with the volatility of the stock price. This yields novel insights on the asymmetric volatility phenomenon, on risk management policies, and on how business cycles and agency costs affect the volatility of stock returns."
Macroeconomic data,207,marginal value of cash,volatility of the stock price,The marginal value of cash varies positively with the volatility of the stock price.,121,"ABSTRACT We develop a dynamic model of a firm facing agency costs of free cash flow and external financing costs, and derive an explicit solution for the firm's optimal balance sheet dynamics. Financial frictions affect issuance and dividend policies, the value of cash holdings, and the dynamics of stock prices. The model predicts that the marginal value of cash varies negatively with the stock price, and positively with the volatility of the stock price. This yields novel insights on the asymmetric volatility phenomenon, on risk management policies, and on how business cycles and agency costs affect the volatility of stock returns."
Business cycles,208,business cycles and agency costs,volatility of stock returns,Business cycles and agency costs affect the volatility of stock returns.,121,"ABSTRACT We develop a dynamic model of a firm facing agency costs of free cash flow and external financing costs, and derive an explicit solution for the firm's optimal balance sheet dynamics. Financial frictions affect issuance and dividend policies, the value of cash holdings, and the dynamics of stock prices. The model predicts that the marginal value of cash varies negatively with the stock price, and positively with the volatility of the stock price. This yields novel insights on the asymmetric volatility phenomenon, on risk management policies, and on how business cycles and agency costs affect the volatility of stock returns."
Trading activity,209,Daily short-sale interest in family firms,stock returns,Daily short-sale interest in family firms contains useful information in forecasting stock returns,122,"ABSTRACT We investigate the relation between organization structure and the information content of short sales, focusing on founder‐ and heir‐controlled firms. Our analysis indicates that family‐controlled firms experience substantially higher abnormal short sales prior to negative earnings shocks than nonfamily firms. Supplementary testing indicates that family control characteristics intensify informed short selling. Further analysis suggests that daily short‐sale interest in family firms contains useful information in forecasting stock returns; however, we find no discernable effect for nonfamily firms. This analysis provides compelling evidence that informed trading via short sales occurs more readily in family firms than in nonfamily firms."
Earnings,210,intense aggregate individual investor buying,abnormal returns,Intense aggregate individual investor buying predicts large positive abnormal returns on and after earnings announcement dates,123,"ABSTRACT This paper provides evidence of informed trading by individual investors around earnings announcements using a unique data set of NYSE stocks. We show that intense aggregate individual investor buying (selling) predicts large positive (negative) abnormal returns on and after earnings announcement dates. We decompose abnormal returns following the event into information and liquidity provision components, and show that about half of the returns can be attributed to private information. We also find that individuals trade in both return‐contrarian and news‐contrarian manners after earnings announcements. The latter behavior has the potential to slow the adjustment of prices to earnings news."
Earnings,211,intense aggregate individual investor selling,abnormal returns,Intense aggregate individual investor selling predicts large negative abnormal returns on and after earnings announcement dates,123,"ABSTRACT This paper provides evidence of informed trading by individual investors around earnings announcements using a unique data set of NYSE stocks. We show that intense aggregate individual investor buying (selling) predicts large positive (negative) abnormal returns on and after earnings announcement dates. We decompose abnormal returns following the event into information and liquidity provision components, and show that about half of the returns can be attributed to private information. We also find that individuals trade in both return‐contrarian and news‐contrarian manners after earnings announcements. The latter behavior has the potential to slow the adjustment of prices to earnings news."
Macroeconomic data,212,Mean reversion,annualized volatility of stock returns,Annualized volatility of stock returns is lower over long horizons due to mean reversion.,124,"ABSTRACT According to conventional wisdom, annualized volatility of stock returns is lower over long horizons than over short horizons, due to mean reversion induced by return predictability. In contrast, we find that stocks are substantially more volatile over long horizons from an investor's perspective. This perspective recognizes that parameters are uncertain, even with two centuries of data, and that observable predictors imperfectly deliver the conditional expected return. Mean reversion contributes strongly to reducing long‐horizon variance but is more than offset by various uncertainties faced by the investor. The same uncertainties reduce desired stock allocations of long‐horizon investors contemplating target‐date funds."
Earnings forecasts,213,Observable predictors,stock returns,"Observable predictors imperfectly deliver the conditional expected return, leading to increased volatility over long horizons.",124,"ABSTRACT According to conventional wisdom, annualized volatility of stock returns is lower over long horizons than over short horizons, due to mean reversion induced by return predictability. In contrast, we find that stocks are substantially more volatile over long horizons from an investor's perspective. This perspective recognizes that parameters are uncertain, even with two centuries of data, and that observable predictors imperfectly deliver the conditional expected return. Mean reversion contributes strongly to reducing long‐horizon variance but is more than offset by various uncertainties faced by the investor. The same uncertainties reduce desired stock allocations of long‐horizon investors contemplating target‐date funds."
Currencies / metals,214,high interest rate currencies,stock returns,"High interest rate currencies are negatively related to innovations in global FX volatility, thus delivering low returns in times of unexpected high volatility.",125,"ABSTRACT We investigate the relation between global foreign exchange (FX) volatility risk and the cross section of excess returns arising from popular strategies that borrow in low interest rate currencies and invest in high interest rate currencies, so‐called “carry trades.” We find that high interest rate currencies are negatively related to innovations in global FX volatility, and thus deliver low returns in times of unexpected high volatility, when low interest rate currencies provide a hedge by yielding positive returns. Furthermore, we show that volatility risk dominates liquidity risk and our volatility risk proxy also performs well for pricing returns of other portfolios."
Currencies / metals,215,low interest rate currencies,stock returns,Low interest rate currencies provide a hedge by yielding positive returns during unexpected high volatility.,125,"ABSTRACT We investigate the relation between global foreign exchange (FX) volatility risk and the cross section of excess returns arising from popular strategies that borrow in low interest rate currencies and invest in high interest rate currencies, so‐called “carry trades.” We find that high interest rate currencies are negatively related to innovations in global FX volatility, and thus deliver low returns in times of unexpected high volatility, when low interest rate currencies provide a hedge by yielding positive returns. Furthermore, we show that volatility risk dominates liquidity risk and our volatility risk proxy also performs well for pricing returns of other portfolios."
SEC,216,opportunistic traders,stock returns,A portfolio strategy that focuses solely on the remaining “opportunistic” traders yields value‐weighted abnormal returns of 82 basis points per month.,126,"ABSTRACT Exploiting the fact that insiders trade for a variety of reasons, we show that there is predictable, identifiable “routine” insider trading that is not informative about firms’ futures. A portfolio strategy that focuses solely on the remaining “opportunistic” traders yields value‐weighted abnormal returns of 82 basis points per month, while abnormal returns associated with routine traders are essentially zero. The most informed opportunistic traders are local, nonexecutive insiders from geographically concentrated, poorly governed firms. Opportunistic traders are significantly more likely to have SEC enforcement action taken against them, and reduce trading following waves of SEC insider trading enforcement."
Macroeconomic data,217,technological-adoption process,asset valuations,The technological-adoption process leads to endogenous cycles in output and asset valuations.,127,"ABSTRACT We study the asset‐pricing implications of technological growth in a model with “small,” disembodied productivity shocks and “large,” infrequent technological innovations, which are embodied into new capital vintages. The technological‐adoption process leads to endogenous cycles in output and asset valuations. This process can help explain stylized asset‐valuation patterns around major technological innovations. More importantly, it can help provide a unified, investment‐based theory for numerous well‐documented facts related to excess‐return predictability. To illustrate the distinguishing features of our theory, we highlight novel implications pertaining to the joint time‐series properties of consumption and excess returns."
Macroeconomic data,218,technological growth,excess returns,"This process can help provide a unified, investment-based theory for numerous well-documented facts related to excess-return predictability.",127,"ABSTRACT We study the asset‐pricing implications of technological growth in a model with “small,” disembodied productivity shocks and “large,” infrequent technological innovations, which are embodied into new capital vintages. The technological‐adoption process leads to endogenous cycles in output and asset valuations. This process can help explain stylized asset‐valuation patterns around major technological innovations. More importantly, it can help provide a unified, investment‐based theory for numerous well‐documented facts related to excess‐return predictability. To illustrate the distinguishing features of our theory, we highlight novel implications pertaining to the joint time‐series properties of consumption and excess returns."
Options / VIX,219,firm‐level return volatility,firm‐level stock returns,The positive relation between firm‐level stock returns and firm‐level return volatility is due to firms’ real options.,128,"ABSTRACT We provide evidence that the positive relation between firm‐level stock returns and firm‐level return volatility is due to firms’ real options. Consistent with real option theory, we find that the positive volatility‐return relation is much stronger for firms with more real options and that the sensitivity of firm value to changes in volatility declines significantly after firms exercise their real options. We reconcile the evidence at the aggregate and firm levels by showing that the negative relation at the aggregate level may be due to aggregate market conditions that simultaneously affect both market returns and return volatility."
Options / VIX,220,the number of real options,firm‐level stock returns,The positive volatility‐return relation is much stronger for firms with more real options.,128,"ABSTRACT We provide evidence that the positive relation between firm‐level stock returns and firm‐level return volatility is due to firms’ real options. Consistent with real option theory, we find that the positive volatility‐return relation is much stronger for firms with more real options and that the sensitivity of firm value to changes in volatility declines significantly after firms exercise their real options. We reconcile the evidence at the aggregate and firm levels by showing that the negative relation at the aggregate level may be due to aggregate market conditions that simultaneously affect both market returns and return volatility."
Private / public sector,221,investor protection,stock returns,"The volatility of U.S. firms increases with investor protection, contributing positively to stock returns.",129,"ABSTRACT U.S. stocks are more volatile than stocks of similar foreign firms. A firm's stock return volatility can be higher for reasons that contribute positively (good volatility) or negatively (bad volatility) to shareholder wealth and economic growth. We find that the volatility of U.S. firms is higher mostly because of good volatility. Specifically, stock volatility is higher in the United States because it increases with investor protection, stock market development, new patents, and firm‐level investment in R&amp;D. Each of these factors is related to better growth opportunities for firms and better ability to take advantage of these opportunities."
Trading activity,222,stock market development,stock returns,"The volatility of U.S. firms increases with stock market development, contributing positively to stock returns.",129,"ABSTRACT U.S. stocks are more volatile than stocks of similar foreign firms. A firm's stock return volatility can be higher for reasons that contribute positively (good volatility) or negatively (bad volatility) to shareholder wealth and economic growth. We find that the volatility of U.S. firms is higher mostly because of good volatility. Specifically, stock volatility is higher in the United States because it increases with investor protection, stock market development, new patents, and firm‐level investment in R&amp;D. Each of these factors is related to better growth opportunities for firms and better ability to take advantage of these opportunities."
Biology / chemistry / physics,223,new patents,stock returns,"The volatility of U.S. firms increases with new patents, contributing positively to stock returns.",129,"ABSTRACT U.S. stocks are more volatile than stocks of similar foreign firms. A firm's stock return volatility can be higher for reasons that contribute positively (good volatility) or negatively (bad volatility) to shareholder wealth and economic growth. We find that the volatility of U.S. firms is higher mostly because of good volatility. Specifically, stock volatility is higher in the United States because it increases with investor protection, stock market development, new patents, and firm‐level investment in R&amp;D. Each of these factors is related to better growth opportunities for firms and better ability to take advantage of these opportunities."
NA,224,firm-level investment in R&D,stock returns,"The volatility of U.S. firms increases with firm-level investment in R&D, contributing positively to stock returns.",129,"ABSTRACT U.S. stocks are more volatile than stocks of similar foreign firms. A firm's stock return volatility can be higher for reasons that contribute positively (good volatility) or negatively (bad volatility) to shareholder wealth and economic growth. We find that the volatility of U.S. firms is higher mostly because of good volatility. Specifically, stock volatility is higher in the United States because it increases with investor protection, stock market development, new patents, and firm‐level investment in R&amp;D. Each of these factors is related to better growth opportunities for firms and better ability to take advantage of these opportunities."
Corporate governance,225,Improvements in the firm's internal corporate governance,Shareholder value,Passing a governance proposal leads to significant positive abnormal returns,130,"ABSTRACT This paper investigates whether improvements in the firm's internal corporate governance create value for shareholders. We analyze the market reaction to governance proposals that pass or fail by a small margin of votes in annual meetings. This provides a clean causal estimate that deals with the endogeneity of internal governance rules. We find that passing a proposal leads to significant positive abnormal returns. Adopting one governance proposal increases shareholder value by 2.8%. The market reaction is larger in firms with more antitakeover provisions, higher institutional ownership, and stronger investor activism for proposals sponsored by institutions. In addition, we find that acquisitions and capital expenditures decline and long‐term performance improves."
Corporate governance,226,Adopting one governance proposal,Shareholder value,Adopting one governance proposal increases shareholder value by 2.8%,130,"ABSTRACT This paper investigates whether improvements in the firm's internal corporate governance create value for shareholders. We analyze the market reaction to governance proposals that pass or fail by a small margin of votes in annual meetings. This provides a clean causal estimate that deals with the endogeneity of internal governance rules. We find that passing a proposal leads to significant positive abnormal returns. Adopting one governance proposal increases shareholder value by 2.8%. The market reaction is larger in firms with more antitakeover provisions, higher institutional ownership, and stronger investor activism for proposals sponsored by institutions. In addition, we find that acquisitions and capital expenditures decline and long‐term performance improves."
Corporate governance,227,More antitakeover provisions,Stock returns,The market reaction is larger in firms with more antitakeover provisions,130,"ABSTRACT This paper investigates whether improvements in the firm's internal corporate governance create value for shareholders. We analyze the market reaction to governance proposals that pass or fail by a small margin of votes in annual meetings. This provides a clean causal estimate that deals with the endogeneity of internal governance rules. We find that passing a proposal leads to significant positive abnormal returns. Adopting one governance proposal increases shareholder value by 2.8%. The market reaction is larger in firms with more antitakeover provisions, higher institutional ownership, and stronger investor activism for proposals sponsored by institutions. In addition, we find that acquisitions and capital expenditures decline and long‐term performance improves."
Corporate governance,228,Higher institutional ownership,Stock returns,The market reaction is larger in firms with higher institutional ownership,130,"ABSTRACT This paper investigates whether improvements in the firm's internal corporate governance create value for shareholders. We analyze the market reaction to governance proposals that pass or fail by a small margin of votes in annual meetings. This provides a clean causal estimate that deals with the endogeneity of internal governance rules. We find that passing a proposal leads to significant positive abnormal returns. Adopting one governance proposal increases shareholder value by 2.8%. The market reaction is larger in firms with more antitakeover provisions, higher institutional ownership, and stronger investor activism for proposals sponsored by institutions. In addition, we find that acquisitions and capital expenditures decline and long‐term performance improves."
Corporate governance,229,Stronger investor activism,Stock returns,The market reaction is larger in firms with stronger investor activism for proposals sponsored by institutions,130,"ABSTRACT This paper investigates whether improvements in the firm's internal corporate governance create value for shareholders. We analyze the market reaction to governance proposals that pass or fail by a small margin of votes in annual meetings. This provides a clean causal estimate that deals with the endogeneity of internal governance rules. We find that passing a proposal leads to significant positive abnormal returns. Adopting one governance proposal increases shareholder value by 2.8%. The market reaction is larger in firms with more antitakeover provisions, higher institutional ownership, and stronger investor activism for proposals sponsored by institutions. In addition, we find that acquisitions and capital expenditures decline and long‐term performance improves."
Earnings,230,industry-level labor income risk,expected stock returns,The cross-section of expected stock returns is primarily affected by industry-level labor income risk.,131,"ABSTRACT Human capital is one of the largest assets in the economy and in theory may play an important role for asset pricing. Human capital is heterogeneous across investors. One source of heterogeneity is industry affiliation. I show that the cross‐section of expected stock returns is primarily affected by industry‐level rather than aggregate labor income risk. Furthermore, when human capital is excluded from the asset pricing model, the resulting idiosyncratic risk may appear to be priced. I find that the premium for idiosyncratic risk documented by several empirical studies depends on the covariance between stock and human capital returns."
Macroeconomic data,231,covariance between stock and human capital returns,premium for idiosyncratic risk,The premium for idiosyncratic risk depends on the covariance between stock and human capital returns.,131,"ABSTRACT Human capital is one of the largest assets in the economy and in theory may play an important role for asset pricing. Human capital is heterogeneous across investors. One source of heterogeneity is industry affiliation. I show that the cross‐section of expected stock returns is primarily affected by industry‐level rather than aggregate labor income risk. Furthermore, when human capital is excluded from the asset pricing model, the resulting idiosyncratic risk may appear to be priced. I find that the premium for idiosyncratic risk documented by several empirical studies depends on the covariance between stock and human capital returns."
Options / VIX,232,ex ante volatility,subsequent returns,There is a negative relation between ex ante volatility and subsequent returns in the cross-section.,132,"ABSTRACT We use option prices to estimate ex ante higher moments of the underlying individual securities’ risk‐neutral returns distribution. We find that individual securities’ risk‐neutral volatility, skewness, and kurtosis are strongly related to future returns. Specifically, we find a negative (positive) relation between ex ante volatility (kurtosis) and subsequent returns in the cross‐section, and more ex ante negatively (positively) skewed returns yield subsequent higher (lower) returns. We analyze the extent to which these returns relations represent compensation for risk and find evidence that, even after controlling for differences in co‐moments, individual securities’ skewness matters."
Options / VIX,233,ex ante kurtosis,subsequent returns,There is a positive relation between ex ante kurtosis and subsequent returns in the cross-section.,132,"ABSTRACT We use option prices to estimate ex ante higher moments of the underlying individual securities’ risk‐neutral returns distribution. We find that individual securities’ risk‐neutral volatility, skewness, and kurtosis are strongly related to future returns. Specifically, we find a negative (positive) relation between ex ante volatility (kurtosis) and subsequent returns in the cross‐section, and more ex ante negatively (positively) skewed returns yield subsequent higher (lower) returns. We analyze the extent to which these returns relations represent compensation for risk and find evidence that, even after controlling for differences in co‐moments, individual securities’ skewness matters."
Options / VIX,234,ex ante negatively skewed returns,subsequent returns,More ex ante negatively skewed returns yield subsequent higher returns.,132,"ABSTRACT We use option prices to estimate ex ante higher moments of the underlying individual securities’ risk‐neutral returns distribution. We find that individual securities’ risk‐neutral volatility, skewness, and kurtosis are strongly related to future returns. Specifically, we find a negative (positive) relation between ex ante volatility (kurtosis) and subsequent returns in the cross‐section, and more ex ante negatively (positively) skewed returns yield subsequent higher (lower) returns. We analyze the extent to which these returns relations represent compensation for risk and find evidence that, even after controlling for differences in co‐moments, individual securities’ skewness matters."
Options / VIX,235,ex ante positively skewed returns,subsequent returns,More ex ante positively skewed returns yield subsequent lower returns.,132,"ABSTRACT We use option prices to estimate ex ante higher moments of the underlying individual securities’ risk‐neutral returns distribution. We find that individual securities’ risk‐neutral volatility, skewness, and kurtosis are strongly related to future returns. Specifically, we find a negative (positive) relation between ex ante volatility (kurtosis) and subsequent returns in the cross‐section, and more ex ante negatively (positively) skewed returns yield subsequent higher (lower) returns. We analyze the extent to which these returns relations represent compensation for risk and find evidence that, even after controlling for differences in co‐moments, individual securities’ skewness matters."
Commodities,236,time‐varying probability of a consumption disaster,stock returns,The time‐varying probability of a consumption disaster increases the equity premium which is related to stock returns.,133,"ABSTRACT Why is the equity premium so high, and why are stocks so volatile? Why are stock returns in excess of government bill rates predictable? This paper proposes an answer to these questions based on a time‐varying probability of a consumption disaster. In the model, aggregate consumption follows a normal distribution with low volatility most of the time, but with some probability of a consumption realization far out in the left tail. The possibility of this poor outcome substantially increases the equity premium, while time‐variation in the probability of this outcome drives high stock market volatility and excess return predictability."
Earnings forecasts,237,time‐variation in the probability of a consumption disaster,stock returns,Time‐variation in the probability of a consumption disaster drives high stock market volatility and excess return predictability.,133,"ABSTRACT Why is the equity premium so high, and why are stocks so volatile? Why are stock returns in excess of government bill rates predictable? This paper proposes an answer to these questions based on a time‐varying probability of a consumption disaster. In the model, aggregate consumption follows a normal distribution with low volatility most of the time, but with some probability of a consumption realization far out in the left tail. The possibility of this poor outcome substantially increases the equity premium, while time‐variation in the probability of this outcome drives high stock market volatility and excess return predictability."
Recession,238,state-level unemployment rates,local stock returns,Local stock returns earn higher future returns when state-level unemployment rates are higher.,134,"ABSTRACT This study examines whether local stock returns vary with local business cycles in a predictable manner. We find that U.S. state portfolios earn higher future returns when state‐level unemployment rates are higher and housing collateral ratios are lower. During the 1978 to 2009 period, geography‐based trading strategies earn annualized risk‐adjusted returns of 5%. This abnormal performance reflects time‐varying systematic risks and local‐trading induced mispricing. Consistent with the mispricing explanation, the evidence of predictability is stronger among firms with low visibility and high local ownership. Nonlocal domestic and foreign investors arbitrage away the predictable patterns in local returns in 1 year."
Real estate,239,housing collateral ratios,U.S. state portfolios,U.S. state portfolios earn higher future returns when housing collateral ratios are lower.,134,"ABSTRACT This study examines whether local stock returns vary with local business cycles in a predictable manner. We find that U.S. state portfolios earn higher future returns when state‐level unemployment rates are higher and housing collateral ratios are lower. During the 1978 to 2009 period, geography‐based trading strategies earn annualized risk‐adjusted returns of 5%. This abnormal performance reflects time‐varying systematic risks and local‐trading induced mispricing. Consistent with the mispricing explanation, the evidence of predictability is stronger among firms with low visibility and high local ownership. Nonlocal domestic and foreign investors arbitrage away the predictable patterns in local returns in 1 year."
Positive sentiment,240,the fraction of positive and negative words in financial news,stock returns,A one standard deviation shock to our news measure during recessions predicts a change in the conditional average return on the DJIA of 12 basis points over one day.,135,"ABSTRACT This paper studies the effect of sentiment on asset prices during the 20th century (1905 to 2005). As a proxy for sentiment, we use the fraction of positive and negative words in two columns of financial news from the New York Times. The main contribution of the paper is to show that, controlling for other well‐known time‐series patterns, the predictability of stock returns using news' content is concentrated in recessions. A one standard deviation shock to our news measure during recessions predicts a change in the conditional average return on the DJIA of 12 basis points over one day."
Trading activity,241,Aggressive (market) net buying,firms’ monthly stock returns,Aggressive (market) net buying positively predicts firms’ monthly stock returns,136,"ABSTRACT We analyze the role of retail investors in stock pricing using a database uniquely suited for this purpose. The data allow us to address selection bias concerns and to separately examine aggressive (market) and passive (limit) orders. Both aggressive and passive net buying positively predict firms’ monthly stock returns with no evidence of return reversal. Only aggressive orders correctly predict firm news, including earnings surprises, suggesting they convey novel cash flow information. Only passive net buying follows negative returns, consistent with traders providing liquidity and benefiting from the reversal of transitory price movements. These actions contribute to market efficiency."
Trading activity,242,Passive (limit) net buying,firms’ monthly stock returns,Passive (limit) net buying positively predicts firms’ monthly stock returns,136,"ABSTRACT We analyze the role of retail investors in stock pricing using a database uniquely suited for this purpose. The data allow us to address selection bias concerns and to separately examine aggressive (market) and passive (limit) orders. Both aggressive and passive net buying positively predict firms’ monthly stock returns with no evidence of return reversal. Only aggressive orders correctly predict firm news, including earnings surprises, suggesting they convey novel cash flow information. Only passive net buying follows negative returns, consistent with traders providing liquidity and benefiting from the reversal of transitory price movements. These actions contribute to market efficiency."
Trading activity,243,Lagged U.S. returns,Returns in numerous non-U.S. industrialized countries.,Lagged U.S. returns significantly predict returns in numerous non-U.S. industrialized countries.,137,"ABSTRACT We investigate lead‐lag relationships among monthly country stock returns and identify a leading role for the United States: lagged U.S. returns significantly predict returns in numerous non‐U.S. industrialized countries, while lagged non‐U.S. returns display limited predictive ability with respect to U.S. returns. We estimate a news‐diffusion model, and the results indicate that return shocks arising in the United States are only fully reflected in equity prices outside of the United States with a lag, consistent with a gradual information diffusion explanation of the predictive power of lagged U.S. returns."
Mutual funds,244,flows,average actively managed mutual fund returns,Flows chase risk‐adjusted returns leading to fund underperformance.,138,"ABSTRACT To rationalize the well‐known underperformance of the average actively managed mutual fund, we exploit the fact that retail funds in different market segments compete for different types of investors. Within the segment of funds marketed directly to retail investors, we show that flows chase risk‐adjusted returns, and that funds respond by investing more in active management. Importantly, within this direct‐sold segment, we find no evidence that actively managed funds underperform index funds. In contrast, we show that actively managed funds sold through brokers face a weaker incentive to generate alpha and significantly underperform index funds."
Mutual funds,245,actively managed funds sold through brokers,index funds returns,Actively managed funds sold through brokers significantly underperform index funds.,138,"ABSTRACT To rationalize the well‐known underperformance of the average actively managed mutual fund, we exploit the fact that retail funds in different market segments compete for different types of investors. Within the segment of funds marketed directly to retail investors, we show that flows chase risk‐adjusted returns, and that funds respond by investing more in active management. Importantly, within this direct‐sold segment, we find no evidence that actively managed funds underperform index funds. In contrast, we show that actively managed funds sold through brokers face a weaker incentive to generate alpha and significantly underperform index funds."
Earnings forecasts,246,time variation in uncertainty,stock returns,"Time variation in uncertainty generates variance premium fluctuations, helping explain their power to predict stock returns.",139,"ABSTRACT I construct an equilibrium model that captures salient properties of index option prices, equity returns, variance, and the risk‐free rate. A representative investor makes consumption and portfolio choice decisions that are robust to his uncertainty about the true economic model. He pays a large premium for index options because they hedge important model misspecification concerns, particularly concerning jump shocks to cash flow growth and volatility. A calibration shows that empirically consistent fundamentals and reasonable model uncertainty explain option prices and the variance premium. Time variation in uncertainty generates variance premium fluctuations, helping explain their power to predict stock returns."
